ID,Type,From,To,Amount,Txn,ether,USD,date
2238,Sold,0x62bdc6,0xa6e2e9,"13Ξ ($46,099)","May 18, 2021",13,46099,2021-05-18
2238,Sold,0xc11192,0x42f3f7,"19.75Ξ ($69,751)","May 07, 2021",19.75,69751,2021-05-07
1190,Sold,0xcf74e4,0x43fb99,400Ξ ($1.38M),"May 18, 2021",400,1380000,2021-05-18
8524,Sold,4281380,4606356,"26.50Ξ ($88,600)","May 18, 2021",26.5,88600,2021-05-18
8524,Sold,755965,13812128,"28Ξ ($59,660)","Apr 20, 2021",28,59660,2021-04-20
3532,Sold,quantbik…,fazebank…,"14.69Ξ ($47,851)","May 18, 2021",14.69,47851,2021-05-18
6635,Sold,957165,15437938,"17.99Ξ ($60,992)","May 17, 2021",17.99,60992,2021-05-17
6635,Sold,9119710,957165,"20Ξ ($78,267)","May 10, 2021",20,78267,2021-05-10
0853,Sold,quantbik…,0x3c2b4b,"15.50Ξ ($52,863)","May 17, 2021",15.5,52863,2021-05-17
0853,Sold,0x163ee0,quantbik…,"14Ξ ($47,045)","May 16, 2021",14,47045,2021-05-16
6505,Sold,0xf2907a,10688461,"38Ξ ($129,143)","May 17, 2021",38,129143,2021-05-17
6505,Sold,0x00653d,571999,"33Ξ ($111,223)","May 04, 2021",33,111223,2021-05-04
8213,Sold,sighduck…,sartoshi…,"13.50Ξ ($44,104)","May 17, 2021",13.5,44104,2021-05-17
8213,Sold,TweetyPi…,sighduck…,"19Ξ ($65,253)","May 05, 2021",19,65253,2021-05-05
8213,Sold,0xa25803,TweetyPi…,"22Ξ ($69,824)","May 03, 2021",22,69824,2021-05-03
6056,Sold,0x0e9aed,1633948,"26Ξ ($85,691)","May 17, 2021",26,85691,2021-05-17
6056,Sold,0x94f67d,957165,"16Ξ ($61,927)","May 14, 2021",16,61927,2021-05-14
3257,Sold,0x42f3f7,0xcb1391,"13Ξ ($42,846)","May 17, 2021",13,42846,2021-05-17
4282,Sold,6811088,15374116,"20Ξ ($66,965)","May 17, 2021",20,66965,2021-05-17
5859,Sold,9119710,808103,"20Ξ ($65,532)","May 17, 2021",20,65532,2021-05-17
8740,Sold,point-gr…,0x4affe1,"15Ξ ($50,686)","May 17, 2021",15,50686,2021-05-17
8740,Sold,0x42f3f7,point-gr…,"13.60Ξ ($50,609)","May 13, 2021",13.6,50609,2021-05-13
8740,Sold,0x8f6b1e,wookie.e…,"19Ξ ($62,444)","May 04, 2021",19,62444,2021-05-04
1361,Sold,0x940a26,sartoshi…,"29.90Ξ ($105,145)","May 17, 2021",29.9,105145,2021-05-17
4359,Sold,9119710,3783217,"22Ξ ($78,557)","May 17, 2021",22,78557,2021-05-17
1370,Sold,5550452,11254910,"18Ξ ($64,274)","May 16, 2021",18,64274,2021-05-16
1370,Sold,3926171,5550452,"19Ξ ($78,472)","May 11, 2021",19,78472,2021-05-11
9012,Sold,0x163ee0,5858674,"18Ξ ($60,486)","May 16, 2021",18,60486,2021-05-16
9012,Sold,0xb5cae9,1457888,"27Ξ ($95,875)","May 07, 2021",27,95875,2021-05-07
2376,Sold,0x4affe1,0xb9afc8,"16.97Ξ ($60,695)","May 16, 2021",16.97,60695,2021-05-16
2376,Sold,0xe19380,0x4affe1,"16Ξ ($57,226)","May 16, 2021",16,57226,2021-05-16
2321,Sold,0xac33a5,0xdb2b36,"14.60Ξ ($53,439)","May 16, 2021",14.6,53439,2021-05-16
2321,Sold,renaissa…,0xac33a5,"12Ξ ($45,810)","May 13, 2021",12,45810,2021-05-13
2321,Sold,@whiz,renaissa…,"23.99Ξ ($59,130)","Apr 17, 2021",23.99,59130,2021-04-17
5618,Sold,9762429,16056278,"29Ξ ($116,083)","May 14, 2021",29,116083,2021-05-14
9378,Sold,0xf2907a,wookie.e…,"39Ξ ($155,497)","May 14, 2021",39,155497,2021-05-14
2464,Sold,9762429,9952039,"36Ξ ($140,278)","May 14, 2021",36,140278,2021-05-14
