ID,Type,From,To,Amount,Txn,ether,USD,date,type,Beanie,Choker,Pilot+Helmet,Tiara,Orange+Side,Buck+Teeth,Welding+Goggles,Pigtails,Pink+With+Hat,Top+Hat,Spots,Rosy+Cheeks,Blonde+Short,Wild+White+Hair,Cowboy+Hat,Wild+Blonde,Straight+Hair+Blonde,Big+Beard,Red+Mohawk,Half+Shaved,Blonde+Bob,Vampire+Hair,Clown+Hair+Green,Straight+Hair+Dark,Straight+Hair,Silver+Chain,Dark+Hair,Purple+Hair,Gold+Chain,Medical+Mask,Tassle+Hat,Fedora,Police+Cap,Clown+Nose,Smile,Cap+Forward,Hoodie,Front+Beard+Dark,Frown,Purple+Eye+Shadow,Handlebars,Blue+Eye+Shadow,Green+Eye+Shadow,Vape,Front+Beard,Chinstrap,3D+Glasses,Luxurious+Beard,Mustache,Normal+Beard+Black,Normal+Beard,Eye+Mask,Goat,Do-rag,Shaved+Head,Muttonchops,Peak+Spike,Pipe,VR,Cap,Small+Shades,Clown+Eyes+Green,Clown+Eyes+Blue,Headband,Crazy+Hair,Knitted+Cap,Mohawk+Dark,Mohawk,Mohawk+Thin,Frumpy+Hair,Wild+Hair,Messy+Hair,Eye+Patch,Stringy+Hair,Bandana,Classic+Shades,Shadow+Beard,Regular+Shades,Horned+Rim+Glasses,Big+Shades,Nerd+Glasses,Black+Lipstick,Mole,Purple+Lipstick,Hot+Lipstick,Cigarette,Earring
0000,Sold,0x00d7c9,10528156,1.60Ξ ($386),"Jul 07, 2017",1.6,386,2017-07-07,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0000,Sold,0xf5099e,14715954,"25Ξ ($2,822)","Nov 30, 2018",25,2822,2018-11-30,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0000,Sold,0x00d7c9,10528156,1.60Ξ ($386),"Jul 07, 2017",1.6,386,2017-07-07,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0000,Sold,0xf5099e,14715954,"25Ξ ($2,822)","Nov 30, 2018",25,2822,2018-11-30,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0000,Sold,0xc352b5,55241,0.98Ξ ($320),"Jun 23, 2017",0.98,320,2017-06-23,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0000,Sold,0xc352b5,55241,0.98Ξ ($320),"Jun 23, 2017",0.98,320,2017-06-23,female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0001,Sold,0xc352b5,0xa0a59c,0.42Ξ ($107),"Jun 26, 2017",0.42,107,2017-06-26,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0001,Sold,0xf5099e,GoWest23,"31Ξ ($5,155)","Apr 06, 2019",31,5155,2019-04-06,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0001,Sold,0xc352b5,0xa0a59c,0.42Ξ ($107),"Jun 26, 2017",0.42,107,2017-06-26,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0001,Sold,EliteCat…,0xcf6165,"60Ξ ($36,305)","Nov 30, 2020",60,36305,2020-11-30,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0001,Sold,EliteCat…,0xcf6165,"60Ξ ($36,305)","Nov 30, 2020",60,36305,2020-11-30,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0001,Sold,0xf5099e,GoWest23,"31Ξ ($5,155)","Apr 06, 2019",31,5155,2019-04-06,male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
